OG	SAMP	assembly	size
OG1	OG1.ilmn.230620	OG1.ilmn.230620.v129mh.fna	0 B
OG1	OG1.ilmn.230814	OG1.ilmn.230814.v129mh.fna	0 B
OG2	OG2.ilmn.240716	OG2.ilmn.240716.v129mh.fna	0 B
OG3	OG3.ilmn.230620	OG3.ilmn.230620.v129mh.fna	0 B
OG3	OG3.ilmn.230814	OG3.ilmn.230814.v129mh.fna	0 B
OG3	OG3.ilmn.230814	OG3.ilmn.230814.v129mh.fna	0 B
OG4	OG4.ilmn.230620	OG4.ilmn.230620.v129mh.fna	0 B
OG4	OG4.ilmn.230620	OG4.ilmn.230620.v129mh.fna	0 B
OG4	OG4.ilmn.230814	OG4.ilmn.230814.v129mh.fna	0 B
OG5	OG5.ilmn.230620	OG5.ilmn.230620.v129mh.fna	0 B
OG6	OG6.ilmn.230620	OG6.ilmn.230620.v129mh.fna	0 B
OG6	OG6.ilmn.230814	OG6.ilmn.230814.v129mh.fna	0 B
OG7	OG7.ilmn.231024	OG7.ilmn.231024.v129mh.fna	1.040 GiB
OG8	OG8.ilmn.230302	OG8.ilmn.230302.v129mh.fna	0 B
OG9	OG9.ilmn.230620	OG9.ilmn.230620.v129mh.fna	0 B
OG9	OG9.ilmn.230814	OG9.ilmn.230814.v129mh.fna	0 B
OG9	OG9.ilmn.230814	OG9.ilmn.230814.v129mh.fna	0 B
OG10	OG10.ilmn.230302	OG10.ilmn.230302.v129mh.fna	0 B
OG11	OG11.ilmn.230620	OG11.ilmn.230620.v129mh.fna	0 B
OG11	OG11.ilmn.230814	OG11.ilmn.230814.v129mh.fna	0 B
OG11	OG11.ilmn.230814	OG11.ilmn.230814.v129mh.fna	0 B
OG12	OG12.ilmn.230620	OG12.ilmn.230620.v129mh.fna	0 B
OG12	OG12.ilmn.230814	OG12.ilmn.230814.v129mh.fna	0 B
OG13	OG13.ilmn.230302	OG13.ilmn.230302.v129mh.fna	0 B
OG14	OG14.ilmn.230302	OG14.ilmn.230302.v129mh.fna	0 B
OG15	OG15.ilmn.230620	OG15.ilmn.230620.v129mh.fna	0 B
OG15	OG15.ilmn.230814	OG15.ilmn.230814.v129mh.fna	0 B
OG16	OG16.ilmn.230620	OG16.ilmn.230620.v129mh.fna	0 B
OG16	OG16.ilmn.230814	OG16.ilmn.230814.v129mh.fna	0 B
OG17	OG17.ilmn.231024	OG17.ilmn.231024.v129mh.fna	1.967 GiB
OG18	OG18.ilmn.230620	OG18.ilmn.230620.v129mh.fna	0 B
OG18	OG18.ilmn.230814	OG18.ilmn.230814.v129mh.fna	0 B
OG19	OG19.ilmn.230620	OG19.ilmn.230620.v129mh.fna	0 B
OG19	OG19.ilmn.230814	OG19.ilmn.230814.v129mh.fna	0 B
OG20	OG20.ilmn.230620	OG20.ilmn.230620.v129mh.fna	0 B
OG20	OG20.ilmn.230814	OG20.ilmn.230814.v129mh.fna	0 B
OG21	OG21.ilmn.230620	OG21.ilmn.230620.v129mh.fna	0 B
